id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21366187,"Freeebird Luxury Apt A-3 : 1 min to MRT, 新裝潢, 2~6P",7662932,Eric,,中正區,25.040998117504056,121.50958819026611,Entire home/apt,1976,1,51,2018-11-02,3.83,34,45
21366828,"Freebird Family Condo 3- 1分鐘到西門捷運,新裝潢優惠,步行街上,寬敞二房,",7662932,Eric,,萬華區,25.044075427141113,121.5075356374636,Entire home/apt,2346,1,53,2018-11-05,3.96,34,60
21371757,悠活台北101-MRT象山站7min-,46621732,Tony,,信義區,25.03335835127024,121.57416707273875,Entire home/apt,2995,2,30,2018-10-05,2.33,16,242
21371979,六條乾淨小公寓Simple apartment,90777411,Naomi,,中山區,25.049411288878833,121.52637108249962,Entire home/apt,864,2,39,2018-11-26,2.91,1,341
21373490,Chez Fabian-Central n Warm Private Single Room,34965924,J Fabian,,信義區,25.046626252911697,121.57825955556774,Private room,617,3,11,2018-10-31,0.83,2,334
21379859,Co-cooking studio- close to Taipei 101,52096754,Craig,,大安區,25.033884704098334,121.55617766715599,Private room,1111,2,33,2018-10-12,2.54,1,0
21382414,New York New York/紐約紐約,92213389,Kevin,,萬華區,25.043811493541853,121.50417164703407,Entire home/apt,1142,2,59,2018-11-25,4.48,6,107
21388420,"甜蜜真活 { Dolce Life } 躲起來｡
想賴皮,捨不得離開｡
療癒系追隨者請入坐｡",130537951,{ Spencer } 冰冰｡,,中正區,25.04472946097743,121.51541146808502,Entire home/apt,1574,2,15,2018-11-11,1.19,2,9
21388533,"Spacious 1Bdrm Walk 5min to MRT, 5min to Ximen",10112069,Wendy,,萬華區,25.033486756867777,121.5045340526933,Entire home/apt,1574,5,6,2018-10-07,0.55,15,15
21390555,"Central of Taipei & 2rooms, 8min MRT  Ximen",80175160,Tim,,萬華區,25.047321739551084,121.50678675831145,Private room,2192,2,2,2018-06-02,0.16,4,165
21393080,台北京站3房奢華屋(Luxury 3 bedroom mansion above Q-square),146527877,Eric,,大同區,25.049509556839944,121.51761520264725,Entire home/apt,4940,1,40,2018-11-25,3.21,5,284
21395668,台北 西門町 Ximen ding ( o房)2人房 5 min to MRT 捷運,30307154,York,,萬華區,25.043720654680097,121.50422434865631,Entire home/apt,1266,1,2,2018-01-16,0.17,33,357
21398531,全新裝潢典雅套房,41124095,Gary,,大同區,25.068886701705974,121.51926905129953,Private room,1111,1,0,,,1,0
21399910,大安區電梯雅房  近台大､科技大樓捷運站 不加清潔費 假日不加價,113632441,Vicki,,大安區,25.027895616664956,121.54554624951626,Private room,494,3,2,2017-11-09,0.15,1,0
21400477,Homie日租套房(B21)--鄰近小巨蛋時尚小套房 南京商圈住宿首選,153057224,Vicky,,松山區,25.05090283490518,121.5567732882817,Private room,2408,1,0,,,7,4
21400609,Homie日租套房(B34)--鄰近小巨蛋時尚小套房 南京商圈住宿首選,153057224,Vicky,,松山區,25.05025902996903,121.55674990165488,Private room,2192,1,2,2018-10-05,0.88,7,0
21400905,Homie日租套房(B35)--鄰近小巨蛋時尚小套房 南京商圈住宿首選,153057224,Vicky,,松山區,25.052328431814942,121.55584430287229,Private room,2192,1,2,2017-10-28,0.15,7,41
21401026,Homie日租套房(B54)--鄰近小巨蛋時尚小套房 南京商圈住宿首選,153057224,Vicky,,松山區,25.052285653556844,121.55598509729995,Private room,2192,1,2,2018-07-23,0.27,7,62
21402452,J&J GREEN HOUSE 7min walk to Ximen MRT 家樂福近到像自家後院!,132809029,John,,萬華區,25.036885046786317,121.50537641726501,Entire home/apt,1389,3,45,2018-11-11,3.86,2,37
21407651,胡思-ComfyZone-9minsToXimenMRT/PortableWi-Fi,136010110,Rex,,萬華區,25.044284222162137,121.5028019212149,Entire home/apt,1142,1,72,2018-11-11,5.60,8,322
21428499,"Taipei Station 7min台,中山MRT站 1分鐘､誠品書店､寧夏夜市､按摩墊,可洗烘衣",77479315,Hc,,大同區,25.052467511374804,121.5196236505681,Private room,648,1,48,2018-10-28,3.70,7,70
21432760,Blue Lover-Quad(2 double bed),4787921,Esther,,中山區,25.062806343520577,121.52761613508287,Entire home/apt,988,2,43,2018-11-11,3.45,10,109
21433976,68-A饒河夜市松山捷運30秒三室兩衛浴電梯大公寓,5795405,Anthony,,信義區,25.049386285273567,121.57724567349322,Entire home/apt,2254,2,14,2018-11-07,1.21,6,54
21434039,西門町商圈溫馨兩人套房Luckyroom,137054846,Rurudevy,,萬華區,25.04226463694333,121.50363500013756,Private room,1451,1,2,2018-10-28,0.18,1,47
21435436,Ximen MRT 5mins 西門町捷運步行5分鐘(2-5people) 全新裝潢,114347966,Jane,,萬華區,25.041988869343307,121.504458440239,Entire home/apt,1852,2,49,2018-11-06,3.83,7,215
21446285,"(A1-7)Celebrity's home, 2+1 BR, near Taipei 101",82233152,J.A.M.,,信義區,25.034137608539915,121.57274532037849,Entire home/apt,4940,2,45,2018-11-11,3.42,14,57
21455105,"TPE main station, 2-3/p, Jiufen, Ximending",155751614,承佑,,中正區,25.045776200438272,121.5143836339455,Entire home/apt,1204,1,68,2018-11-24,5.50,2,36
21456626,台北Taipei 鄰近小巨蛋捷運站 雙人床 整房出租,57215993,奐廷,,松山區,25.047761801692005,121.55282477500919,Private room,895,1,11,2018-06-03,0.88,2,299
21461068,永春捷運站 近南港 信義商圈 6mins walk to MRT三人房Triple room,39285650,Kate,,信義區,25.038491164741988,121.57939039985175,Private room,648,1,38,2018-11-03,3.00,12,166
21462701,MRT Ximen Biemen station / Mr.Wilson's apartment,29678686,Dan,,萬華區,25.04719046877524,121.50890674150311,Entire home/apt,1266,2,66,2018-11-19,5.03,5,231
21463890,★台北最优★忠孝敦化站2分钟/台北市中心必选/ 24小时可入住/闹中取静专属空间,12812606,Star,,大安區,25.041666129549867,121.55176813684173,Entire home/apt,1976,2,48,2018-11-13,3.65,8,164
21466887,Near NTU and NTNU MRT shopping  mall 7 -11 wifi,19216347,心誠,,大安區,25.021304828794825,121.52958370732797,Entire home/apt,1760,30,0,,,48,318
21469552,*新開幕~瑞士精品~西門町市中心徒步商街內捷運站前2分鐘到飯店式管理安靜電梯大樓,16305590,Li-Chu,,萬華區,25.04452196914559,121.50632049734098,Entire home/apt,1544,2,5,2018-09-24,0.45,12,20
21471005,6~10P (Warm House) Tapiei Ximen MRT,14340321,Even,,萬華區,25.045686712488223,121.50747887868772,Entire home/apt,4199,1,19,2018-11-19,1.43,7,320
21477379,SPACIOUS 3 bedroom apt in PRIME AREA!!,6513411,Tom,,松山區,25.045928950831648,121.55555125612248,Entire home/apt,2161,2,15,2018-11-12,1.68,16,165
