id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
617035,"2 bedroom, Huge living space, 10 mins walk to MTR",2711873,Shirley,,Kwai Tsing,22.368016469195297,114.13211607447899,Entire home/apt,619,14,7,2018-10-02,0.09,1,207
621305,NEW Cozy APT 4 mins to Mong Kok MTR,3079511,Bonnie,,Yau Tsim Mong,22.315005546890585,114.16906761255325,Entire home/apt,760,1,339,2018-11-07,4.44,4,301
622020,Bright 1-bdrm apt in Sheung Wan HKG,3073447,Sarah,,Central & Western,22.283866210813834,114.14753391214988,Entire home/apt,1199,5,28,2016-03-23,0.37,1,0
628303,Apartment F causeway bay,2767759,Alfred,,Wan Chai,22.28062781721818,114.1863803480243,Entire home/apt,603,120,9,2013-03-17,0.12,17,203
634726,"BIG 3BR APT IN WANCHAI, HEART OF HK",3161756,Sl,,Wan Chai,22.278111041317324,114.1735384290804,Entire home/apt,1003,180,19,2013-08-31,0.25,1,365
645311,Amazing Apt (HH) in heart of HK,1452499,Sally,,Wan Chai,22.278895182239257,114.1720866863168,Entire home/apt,1551,3,164,2018-11-02,2.26,7,311
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.326174418510664,114.16459201009486,Shared room,219,1,119,2018-10-30,1.59,5,108
645950,"Ladies Street, 2 BR, MongKok MTR",3052154,John,,Yau Tsim Mong,22.3162911388797,114.17060451840463,Entire home/apt,1003,4,140,2018-10-26,1.85,4,164
646645,Creative Residence. Private Room,634820,Wontonmeen,,Sham Shui Po,22.33096285765966,114.16429020984201,Private room,447,1,35,2018-04-11,0.46,5,95
655190, TimesSquare  1min away! 1BdRm Aprt,808933,J,,Wan Chai,22.278707873376085,114.18142185994463,Entire home/apt,697,2,153,2018-10-05,2.09,3,254
668338,"Clean 5mins to MTR walk up 1f, Rm 1",3383055,Kiki,,Yau Tsim Mong,22.3112750556478,114.16836450931288,Private room,298,1,105,2018-10-05,1.40,9,338
669310,Great apt in Central HK 1min to mtr,2083001,Krystal & Ryan,,Central & Western,22.2861605571736,114.15247380270188,Entire home/apt,877,2,148,2018-11-05,2.62,5,315
672039,"Clean 5mins to MTR walk up 1f, Rm 2",3383055,Kiki,,Yau Tsim Mong,22.310080728814917,114.17025949759021,Private room,353,1,147,2018-10-21,1.97,9,324
